target	gRNA	log2_NGFRhi_FC	meanNumCells	meanlFC	sdlFC	selFC
BUB1B	BUB1B_PKc_E17_37	-0.0686126497383442	6970	-0.0686126497383442	NA	NA
CHEK1	CHEK1_PKc_E2_65.4	-0.256853351212688	5135.5	0.101307817370598	0.506516382125879	0.358161168583286
FEZF2	FEZF2_E5_80.4	1.83546050937186	6688.66666666667	0.994352267068843	0.784177634647441	0.452745168456184
MAPK1	MAPK1_PKc_E3_190.8	1.25336832584925	3986.5	0.878016215938479	0.624830177920533	0.312415088960267
SOX10	SOX10_E3_91.6	0.475271320652516	1159	0.475271320652516	NA	NA
THAP11	THAP11_E1_234.8	2.5069008857364	5883	1.05450509026521	2.05399783188902	1.45239579547119
ADCK3	ADCK3_PKc_E12_108.8	-1.84191885522818	2943	0.0067503634687645	1.79119164735126	1.03414497976846
BRD2-BD1	BRD2_BD1_e2_109.12	-1.97734789699174	4673.33333333333	-1.66152843465399	0.826887988778073	0.477404002910689
BRD2-BD2	BRD2_BD2_e7_129.7	-0.326126192512256	6065	-2.69742121056018	3.30887600394936	1.91038045159526
BRD8	BRD8_BD_e18_69.2	2.40339271000839	3166.66666666667	0.71095996237949	1.86085960093883	1.07436779152613
CBFB	CBFB_E2_87.9	1.60706956662101	4144	0.874355754805414	0.895735053568207	0.517152874300188
CDK11B	CDK11B_PKc_E15_122.1	-0.612850369035914	3898	0.219317937586539	1.17686370540252	0.832168306622452
CHD7	CHD7_D_e16_118.9	-2.10986899421084	4136	0.115314519201587	1.92709394819418	1.11260820974361
CLK1	CLK1_PKc_E6_117.1	1.42681576863513	3871	0.452850449466632	1.08041820598347	0.623779742061927
CSK	CSK_PKc_E9_91	-0.0460441333518046	7584.33333333333	0.443082656959734	0.640157191501507	0.36959492683707
CSNK2A2	CSNK2A2_PKc_E1_41	-1.74862237387088	6243.5	0.0843442510086829	2.59220626028192	1.83296662487956
DEAF1	DEAF1_E4_88.1	-1.78107106426598	5438	-1.99573378297304	1.80741338973892	1.0435106071027
DOT1L	DOT1L_e9_80.7	1.65929508749763	3782.33333333333	2.11355181373083	0.730253965200472	0.421612323385284
DSTYK	DSTYK_PKc_E11_115.6	1.6138135433288	5503.5	1.14584234632337	0.66181121360506	0.467971197005437
DYRK1A	DYRK1A_PKc_E9_213.21	1.20522986724697	4357	0.79998638877303	0.789998775011018	0.456106005412086
EGFR	EGFR_PKc_E21_156	1.66409278669516	3034.66666666667	0.604260609466543	1.23101144827429	0.710724791036675
EP300	EP300_e26_114.6	1.16906029070908	3930.33333333333	1.2325476505337	0.226046101573591	0.130507777592778
FGFR1	FGFR1_PKc_E12_111.7	-0.801543271810144	6379.33333333333	-0.536979284735358	0.544357645854974	0.3142850333698
FOSL1	FOSL1_E3_63.5	1.68577763812762	4095	0.45369399655506	1.12159676341936	0.647554193282382
FOXC2	FOXC2_E1_234.17	0.163371771297886	2535.33333333333	0.264008009910675	1.28831944304712	0.743811577245482
GATA4	GATA4_E4_126.1	2.60287447236384	5070.66666666667	2.48014470305022	0.696330707592602	0.402026721473592
GFI1	GFI1_E7_155.17	1.94141946790962	3562.33333333333	1.30269055173036	1.01144161450707	0.583956088405245
GLI4	GLI4_E4_489.5	0.417690463263038	5094.5	-0.469982629857409	1.25535932724461	0.887673093120447
HOXB6	HOXB6_E4_177.18	0.300973187517113	6805	-0.260097925090464	0.979522041918682	0.565527314578923
INO80	INO80_H_e29_73.0	0.360436485098143	2144	0.360436485098143	NA	NA
IRF7	IRF7_E2_189.16	0.960761316927973	4606.33333333333	0.208771642369002	0.653581752001159	0.377345600455296
JUN	JUN_E1_162.8	-4.6644654119616	6501.66666666667	-3.79723594835629	1.67337721416629	0.966124785054691
NA	NA	-0.763149156268714	3760	-0.763149156268714	NA	NA
JUNB	JUNB_E1_162.21	1.8633549446209	3612	1.85786411078107	0.820120804546025	0.47349696727266
KDM1A	KDM1A_e19_147.2	0.466466264910756	3061	0.466466264910756	NA	NA
